model,quantity
02400,{'stock': 'OUT OF STOCK'}
03300,{'stock': 'LARGE QUANTITY'}
03301,{'stock': 'LARGE QUANTITY'}
04020,{'stock': 'LARGE QUANTITY'}
04440,{'stock': 'LARGE QUANTITY'}
04544,{'stock': 'LARGE QUANTITY'}
04710,{'stock': 'LARGE QUANTITY'}
04693,{'stock': 'LARGE QUANTITY'}
04728,{'stock': 'SMALL QUANTITY'}
04756,{'stock': 'LARGE QUANTITY'}
05311,{'stock': 'LARGE QUANTITY'}
05750,{'stock': 'LARGE QUANTITY'}
04770,{'stock': 'OUT OF STOCK'}
05761,{'stock': 'LARGE QUANTITY'}
05774,{'stock': 'SMALL QUANTITY'}
05801,{'stock': 'OUT OF STOCK'}
05821,{'stock': 'LARGE QUANTITY'}
05906,{'stock': 'LARGE QUANTITY'}
05923,{'stock': 'MEDIUM QUANTITY'}
06001,{'stock': 'OUT OF STOCK'}
06002,{'stock': 'LARGE QUANTITY'}
06306,{'stock': 'LARGE QUANTITY'}
06341,{'stock': 'LARGE QUANTITY'}
06393,{'stock': 'LARGE QUANTITY'}
06004,{'stock': 'MEDIUM QUANTITY'}
06404,{'stock': 'LARGE QUANTITY'}
06453,{'stock': 'LARGE QUANTITY'}
06457,{'stock': 'LARGE QUANTITY'}
06530,{'stock': 'LARGE QUANTITY'}
06538,{'stock': 'LARGE QUANTITY'}
06797,{'stock': 'OUT OF STOCK'}
06975,{'stock': 'LARGE QUANTITY'}
06979,{'stock': 'LARGE QUANTITY'}
06983,{'stock': 'LARGE QUANTITY'}
07508,{'stock': 'LARGE QUANTITY'}
07540,{'stock': 'LARGE QUANTITY'}
07620,{'stock': 'LARGE QUANTITY'}
07100,{'stock': 'LARGE QUANTITY'}
07400,{'stock': 'LARGE QUANTITY'}
07883,{'stock': 'LARGE QUANTITY'}
07911,{'stock': 'OUT OF STOCK'}
08291,{'stock': 'LARGE QUANTITY'}
08303,{'stock': 'LARGE QUANTITY'}
08304,{'stock': 'LARGE QUANTITY'}
08307,{'stock': 'LARGE QUANTITY'}
08312,{'stock': 'LARGE QUANTITY'}
08450,{'stock': 'OUT OF STOCK'}
08289,{'stock': 'LARGE QUANTITY'}
08500,{'stock': 'OUT OF STOCK'}
08511,{'stock': 'MEDIUM QUANTITY'}
08522,{'stock': 'LARGE QUANTITY'}
08542,{'stock': 'LARGE QUANTITY'}
08545,{'stock': 'OUT OF STOCK'}
08576,{'stock': 'LARGE QUANTITY'}
08573,{'stock': 'LARGE QUANTITY'}
08578,{'stock': 'LARGE QUANTITY'}
08646,{'stock': 'OUT OF STOCK'}
08715,{'stock': 'LARGE QUANTITY'}
08751,{'stock': 'LARGE QUANTITY'}
08860,{'stock': 'LARGE QUANTITY'}
08864,{'stock': 'OUT OF STOCK'}
09005,{'stock': 'LARGE QUANTITY'}
09010,{'stock': 'LARGE QUANTITY'}
09077,{'stock': 'LARGE QUANTITY'}
09160,{'stock': 'LARGE QUANTITY'}
09172,{'stock': 'LARGE QUANTITY'}
09372,{'stock': 'LARGE QUANTITY'}
09398,{'stock': 'LARGE QUANTITY'}
09427,{'stock': 'OUT OF STOCK'}
09481,{'stock': 'LARGE QUANTITY'}
09487,{'stock': 'LARGE QUANTITY'}
09562,{'stock': 'LARGE QUANTITY'}
09331,{'stock': 'LARGE QUANTITY'}
09338,{'stock': 'LARGE QUANTITY'}
09400,{'stock': 'LARGE QUANTITY'}
09468,{'stock': 'LARGE QUANTITY'}
09474,{'stock': 'LARGE QUANTITY'}
09590,{'stock': 'LARGE QUANTITY'}
09655,{'stock': 'LARGE QUANTITY'}
10011,{'stock': 'LARGE QUANTITY'}
10064,{'stock': 'LARGE QUANTITY'}
10101,{'stock': 'LARGE QUANTITY'}
10123,{'stock': 'LARGE QUANTITY'}
15007,{'stock': 'LARGE QUANTITY'}
16000,{'stock': 'LARGE QUANTITY'}
