model,quantity
02400,0
03300,100
03301,100
04020,100
04440,100
04544,100
04710,100
04693,100
04728,0
04756,100
05750,100
05311,100
04770,0
05761,100
05774,0
05801,0
05821,100
05906,100
05923,0
06001,100
06002,100
06306,100
06341,100
06393,100
06004,20
06404,0
06453,100
06457,100
06530,100
06797,0
06975,100
06979,100
06983,100
06538,100
07100,100
07400,100
07508,100
07540,100
07620,100
07883,100
07911,0
08289,100
08303,100
08304,100
08307,100
08291,100
08312,100
08522,100
08450,0
08500,0
08511,20
08542,100
08545,0
08578,100
08573,100
08576,100
08715,100
08751,100
08646,0
08864,0
09005,100
09010,100
08860,100
09077,20
09160,100
09172,100
09331,20
09338,0
09398,100
09400,100
09481,100
09487,0
09562,100
09372,100
09427,0
09468,100
09474,100
09590,100
09655,100
10011,100
10064,100
10101,100
10123,100
15007,100
16000,100
16552,100
16556,100
17489,100
17506,0
17560,0
17610,100
17705,100
18250,100
18360,100
20250,100
20600,100
21690,100
15301,100
17430,100
17701,20
18356,20
21704,100
21924,100
21956,100
21998,100
22500,100
22570,100
17301,100
22640,100
23312,100
23319,0
23374,100
23396,100
23402,100
23692,100
23591,100
23723,100
23724,100
23740,100
23820,100
23830,100
23882,100
23883,100
23992,100
24095,100
24200,100
24410,100
24470,20
24610,100
24630,100
24800,0
24962,100
25165,100
25170,100
25519,100
25972,100
25977,100
27502,100
26220,100
27322,100
27511,100
27543,100
27810,100
27834,100
28011,100
28370,100
28385,100
28387,0
28641,100
28710,100
29050,20
29318,100
29319,100
29995,0
29997,0
30080,100
30150,100
29210,100
29404,0
30410,100
30430,100
30533,20
30510,100
30520,100
30536,0
32902,100
33001,100
32999,0
33022,0
33040,0
33107,100
33127,100
33300,100
33302,100
33535,100
33550,100
34207,20
34210,100
34245,100
33330,0
35030,20
35032,0
35210,100
35353,100
35366,0
35376,0
35611,100
35751,100
35767,100
35782,100
35784,100
35790,100
35802,0
35803,100
35824,100
35832,100
35864,0
35876,100
35916,100
35923,100
35931,100
35906,100
35962,0
35932,100
36033,20
37111,100
37114,100
36039,20
37300,100
37430,100
38407,100
38409,100
38525,100
38641,100
38750,100
39000,100
40013,100
40016,100
40017,100
40160,0
41121,100
43020,0
43063,100
44330,100
48080,100
48081,100
48100,100
49600,100
49802,100
38531,100
44300,100
45010,100
49771,100
49785,0
49900,0
50100,100
50190,0
50590,100
50861,100
51047,0
50880,0
51048,100
51110,100
51270,0
51560,100
51590,0
51676,100
51681,100
51688,100
51690,100
51691,100
52570,0
52710,0
51705,100
52855,0
53100,100
53120,100
53400,100
53420,20
53562,0
53571,100
53580,100
53670,100
52842,0
52845,0
53190,100
53470,100
53610,100
54000,100
54510,0
54811,0
54813,0
54816,100
54061,0
54497,20
